Component,Property,Variant,State,"Token ""Nickname""",Dark Value,Dark Opacity,Light Value,Light Opacity,Implemented on iOS,Implemented on Android,Implemented on the Component Library
ContentSwitcher,Text,Default,Default,contentSwitcherText,Gray/200,100%,Gray/800,100%,No,No,Yes
ContentSwitcher,Text,Default,Disabled,contentSwitcherTextDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
ListItem,Background,Default,Default,listItemBackground,NightSky/950,100%,Gray/50,100%,No,No,Yes
ListItem,Border,Default,Default,listItemBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
ListItemHeadline,Text,Default,Default,listItemHeadlineText,Gray/300,100%,Gray/700,100%,No,No,Yes
ListItemSubhead,Text,Default,Default,listItemSubheadText,Gray/450,100%,Gray/500,100%,No,No,Yes
ListItemTray,Background,Default,Default,listItemTrayBackground,NightSky/975,100%,White,100%,No,No,Yes
ListItemTray,Border,Default,Default,listItemTrayBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
ListItemActionButton,Border,Default,Default,listItemActionButtonBorder,NightSky/800,100%,Gray/200,100%,No,No,Yes
Paginator,Text,Default,Default,paginatorText,Gray/800,100%,Gray/200,100%,No,No,Yes
PaginatorButton,Background,Default,Hover,paginatorButtonBackgroundHover,NightSky/900,100%,Gray/100,100%,No,No,Yes
TabsTabBar,Border,Default,Default,tabsTabBarBorder,NightSky/700,100%,Gray/300,100%,No,No,Yes
TabsTabBar,Background,Pills,Default,tabsTabBarBackgroundPills,NightSky/900,100%,Gray/50,100%,No,No,Yes
TabsTab,Text,Default,Default,tabsTabText,Gray/450,100%,Gray/500,100%,No,No,Yes
TabsTab,Text,Default,Hover,tabsTabTextHover,Gray/200,100%,Gray/800,100%,No,No,Yes
TabsTab,Text,Default,Disabled,tabsTabTextDisabled,Gray/600,100%,Gray/300,100%,No,No,Yes
TabsTab,Border,Default,Active,tabsTabBorderActive,Primary/400,100%,Primary/700,100%,No,No,Yes
TabsTab,Border,Default,Focus,tabsTabBorderFocus,Primary/700,100%,Primary/300,100%,No,No,Yes
TabsTab,Text,Default,Focus,tabsTabTextFocus,Primary/500,100%,Primary/600,100%,No,No,Yes
TabsTab,Text,Pills,Active,tabsTabTextPillsActive,Gray/200,100%,Gray/800,100%,No,No,Yes
TabsTab,Text,Pills,Focus,tabsTabTextPillsFocus,Primary/200,100%,Primary/800,100%,No,No,Yes
AnimatedNumber,Text,Increase,Default,animatedNumberTextIncrease,Green/300,100%,Green/700,100%,No,No,Yes
AnimatedNumber,Text,Decrease,Default,animatedNumberTextDecrease,Red/300,100%,Red/800,100%,No,No,Yes
AreaChart,AxisTick,Default,Default,areaChartAxisTick,Gray/600,100%,Gray/400,100%,No,No,Yes
AreaChart,AxisLine,Default,Default,areaChartAxisLine,Gray/600,100%,Gray/400,100%,No,No,Yes
AreaChart,AxisLabel,Default,Default,areaChartAxisLabel,Gray/450,100%,Gray/500,100%,No,No,Yes
AreaChart,GridLine,Default,Default,areaChartGridLine,Gray/600,100%,Gray/400,100%,No,No,Yes
AreaChart,TooltipCursor,Default,Default,areaChartTooltipCursor,Gray/700,100%,Gray/300,100%,No,No,Yes
AreaChart,ReferenceDotMin,Default,Default,areaChartReferenceDotMin,Red/400,100%,Red/600,100%,No,No,Yes
AreaChart,ReferenceDotMax,Default,Default,areaChartReferenceDotMax,Green/300,100%,Green/700,100%,No,No,Yes
AreaChart,DatasetColor,Primary,Default,areaChartDatasetColorPrimary,Gray/450,100%,Gray/500,100%,No,No,Yes
AreaChart,DatasetColor,Gray,Default,areaChartDatasetColorGray,Primary/500,100%,Primary/600,100%,No,No,Yes
AreaChartDatasetSelectorButton,Text,Default,Default,areaChartDatasetSelectorButtonText,Gray/450,100%,Gray/500,100%,No,No,Yes
AreaChartDatasetSelectorButton,Text,Default,Hover,areaChartDatasetSelectorButtonTextHover,Gray/350,100%,Gray/600,100%,No,No,Yes
AreaChartDatasetSelectorButton,Text,Active,Default,areaChartDatasetSelectorButtonTextActive,Primary/400,100%,Primary/700,100%,No,No,Yes
AreaChartTooltip,Background,Default,Default,areaChartTooltipBackground,NightSky/100,100%,Gray/800,100%,No,No,Yes
